# Source: pgeocode/GeoNames (https://www.geonames.org/) — CC BY 4.0
# Downloaded: 2026-04-10
# Fields: zip, lat, lng, city, state_id, state_name, county
zip,lat,lng,city,state_id,state_name,county
99737,64.0378,-145.7322,Delta Junction,AK,Alaska,Southeast Fairbanks Census Area
99738,64.7881,-141.2,Eagle,AK,Alaska,Southeast Fairbanks Census Area
99764,62.9617,-141.9372,Northway,AK,Alaska,Southeast Fairbanks Census Area
99776,63.3853,-143.3464,Tanacross,AK,Alaska,Southeast Fairbanks Census Area
99780,63.3367,-142.9856,Tok,AK,Alaska,Southeast Fairbanks Census Area
99929,56.4335,-132.3529,Wrangell,AK,Alaska,City and Borough of Wrangell
99558,62.6561,-160.2067,Anvik,AK,Alaska,Yukon-Koyukuk (CA)
99590,62.9036,-160.0647,Grayling,AK,Alaska,Yukon-Koyukuk (CA)
99602,62.1926,-159.8251,Holy Cross,AK,Alaska,Yukon-Koyukuk (CA)
99627,62.9457,-155.5712,Mc Grath,AK,Alaska,Yukon-Koyukuk (CA)
99665,62.6822,-159.5619,Shageluk,AK,Alaska,Yukon-Koyukuk (CA)
99675,62.9886,-156.0642,Takotna,AK,Alaska,Yukon-Koyukuk (CA)
99691,63.0133,-154.375,Nikolai,AK,Alaska,Yukon-Koyukuk (CA)
99720,66.5656,-152.6456,Allakaket,AK,Alaska,Yukon-Koyukuk (CA)
99722,68.1269,-145.5378,Arctic Village,AK,Alaska,Yukon-Koyukuk (CA)
99724,66.3594,-147.3964,Beaver,AK,Alaska,Yukon-Koyukuk (CA)
99726,65.2264,-151.0251,Bettles Field,AK,Alaska,Yukon-Koyukuk (CA)
99730,65.4681,-144.7489,Central,AK,Alaska,Yukon-Koyukuk (CA)
99733,65.8245,-144.0826,Circle,AK,Alaska,Yukon-Koyukuk (CA)
99740,66.5647,-145.2739,Fort Yukon,AK,Alaska,Yukon-Koyukuk (CA)
99741,64.7333,-156.9275,Galena,AK,Alaska,Yukon-Koyukuk (CA)
99745,66.0382,-154.2644,Hughes,AK,Alaska,Yukon-Koyukuk (CA)
99746,65.6899,-156.292,Huslia,AK,Alaska,Yukon-Koyukuk (CA)
99748,64.3305,-158.7243,Kaltag,AK,Alaska,Yukon-Koyukuk (CA)
99754,64.8803,-157.7008,Koyukuk,AK,Alaska,Yukon-Koyukuk (CA)
99756,65.0011,-150.6339,Manley Hot Springs,AK,Alaska,Yukon-Koyukuk (CA)
99757,63.8828,-152.3122,Lake Minchumina,AK,Alaska,Yukon-Koyukuk (CA)
99758,65.0584,-149.6912,Minto,AK,Alaska,Yukon-Koyukuk (CA)
99760,64.5577,-149.0867,Nenana,AK,Alaska,Yukon-Koyukuk (CA)
99765,64.7194,-158.1031,Nulato,AK,Alaska,Yukon-Koyukuk (CA)
99767,65.509,-150.1619,Rampart,AK,Alaska,Yukon-Koyukuk (CA)
99768,64.7201,-155.5039,Ruby,AK,Alaska,Yukon-Koyukuk (CA)
99774,66.0064,-149.0908,Stevens Village,AK,Alaska,Yukon-Koyukuk (CA)
99777,65.1719,-152.0789,Tanana,AK,Alaska,Yukon-Koyukuk (CA)
99781,67.0104,-146.4137,Venetie,AK,Alaska,Yukon-Koyukuk (CA)
99788,66.6544,-143.7222,Chalkyitsik,AK,Alaska,Yukon-Koyukuk (CA)
36003,32.4625,-86.7149,Autaugaville,AL,Alabama,Autauga
36006,32.6596,-86.7178,Billingsley,AL,Alabama,Autauga
36008,32.5016,-86.5727,Booth,AL,Alabama,Autauga
36051,32.6841,-86.4946,Marbury,AL,Alabama,Autauga
36066,32.4787,-86.43,Prattville,AL,Alabama,Autauga
36067,32.4715,-86.4831,Prattville,AL,Alabama,Autauga
36068,32.464,-86.4597,Prattville,AL,Alabama,Autauga
36749,32.5104,-86.8138,Jones,AL,Alabama,Autauga
36507,30.8635,-87.7644,Bay Minette,AL,Alabama,Baldwin
36511,30.3128,-87.7431,Bon Secour,AL,Alabama,Baldwin
36526,30.6197,-87.8895,Daphne,AL,Alabama,Baldwin
36527,30.6959,-87.8867,Spanish Fort,AL,Alabama,Baldwin
36530,30.3942,-87.589,Elberta,AL,Alabama,Baldwin
36532,30.5012,-87.8835,Fairhope,AL,Alabama,Baldwin
36533,30.4841,-87.8606,Fairhope,AL,Alabama,Baldwin
36535,30.4007,-87.6857,Foley,AL,Alabama,Baldwin
36536,30.4222,-87.7064,Foley,AL,Alabama,Baldwin
36542,30.2717,-87.7589,Gulf Shores,AL,Alabama,Baldwin
36547,30.246,-87.7008,Gulf Shores,AL,Alabama,Baldwin
36549,30.3972,-87.4745,Lillian,AL,Alabama,Baldwin
36550,31.2246,-87.7548,Little River,AL,Alabama,Baldwin
36551,30.618,-87.7562,Loxley,AL,Alabama,Baldwin
36555,30.3996,-87.7761,Magnolia Springs,AL,Alabama,Baldwin
36559,30.5623,-87.9005,Montrose,AL,Alabama,Baldwin
36561,30.281,-87.5815,Orange Beach,AL,Alabama,Baldwin
36562,31.0403,-87.6667,Perdido,AL,Alabama,Baldwin
36564,30.4741,-87.9192,Point Clear,AL,Alabama,Baldwin
36567,30.5616,-87.6373,Robertsdale,AL,Alabama,Baldwin
36574,30.5048,-87.4659,Seminole,AL,Alabama,Baldwin
36576,30.5222,-87.7457,Silverhill,AL,Alabama,Baldwin
36577,30.6749,-87.9153,Spanish Fort,AL,Alabama,Baldwin
36578,30.7476,-87.7787,Stapleton,AL,Alabama,Baldwin
36579,31.0129,-87.8633,Stockton,AL,Alabama,Baldwin
36580,30.4752,-87.6992,Summerdale,AL,Alabama,Baldwin
36016,31.8874,-85.4509,Clayton,AL,Alabama,Barbour
36017,31.6852,-85.5904,Clio,AL,Alabama,Barbour
36027,31.9051,-85.1656,Eufaula,AL,Alabama,Barbour
36048,31.7943,-85.5581,Louisville,AL,Alabama,Barbour
